AnalysisSet,Effect,Contrast,Test,Group,N,Mean,SE,t,p,Cohen_d
Late-phase sensitivity CS+ learners,Reinstatement: Early condition contrast,CS+ - CS-,SAD vs 0,SAD,11,0.03847282151724483,0.015619928140926291,2.4630600838963472,0.016750261276634055,0.7426405576714069
Late-phase sensitivity CS+ learners,Reinstatement: Early condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,22,0.033807712620428795,,1.0903363561538562,0.2916187929438502,0.4649209844011363
Late-phase sensitivity CS+ learners,Reinstatement: Early condition contrast,CSS - CS-,HC vs 0,HC,11,0.015137413320756465,0.030514002290351328,0.4960808869553957,0.31527950383282377,0.14957401524525096
Late-phase sensitivity CS+ learners,Reinstatement: Early condition contrast,CSS - CS-,SAD vs 0,SAD,11,0.034865863875365846,0.012703915740822337,2.744497412189932,0.010336279691038999,0.8274971049395791
Late-phase sensitivity CS+ learners,Reinstatement: Early condition contrast,CSS - CS-,SAD vs HC,SAD-HC,22,0.01972845055460938,,0.5968751320834721,0.5605661050364272,0.25450841147009173
Late-phase sensitivity CS+ learners,Reinstatement: Early condition contrast,CSR - CS-,HC vs 0,HC,11,-0.005807195527124397,0.03278723677449377,-0.17711756458970634,0.5685239740195713,-0.05340295504778127
Late-phase sensitivity CS+ learners,Reinstatement: Early condition contrast,CSR - CS-,SAD vs 0,SAD,11,0.04207977915912383,0.020248019210927518,2.0782170700635287,0.032195078669604096,0.626606023119315
Late-phase sensitivity CS+ learners,Reinstatement: Early condition contrast,CSR - CS-,SAD vs HC,SAD-HC,22,0.047886974686248224,,1.2426715097063274,0.23119677544999176,0.5298769121281939
Late-phase sensitivity CS+ learners,Reinstatement: Late condition contrast,CS+ - CS-,HC vs 0,HC,11,0.02921685419042207,0.02123105711173877,1.3761375157465858,0.09940580139235383,0.41492107269665646
Late-phase sensitivity CS+ learners,Reinstatement: Late condition contrast,CS+ - CS-,SAD vs 0,SAD,11,-0.006345929790861764,0.012568618504544651,-0.5049027296490188,0.6877164350146521,-0.15223390089745878
Late-phase sensitivity CS+ learners,Reinstatement: Late condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,22,-0.03556278398128383,,-1.441398705426448,0.16847428655607202,-0.6146144731019365
Late-phase sensitivity CS+ learners,Reinstatement: Late condition contrast,CSS - CS-,HC vs 0,HC,11,0.024487082764351045,0.015347121932773362,1.5955488508929836,0.0708368471122916,0.48107607937224917
Late-phase sensitivity CS+ learners,Reinstatement: Late condition contrast,CSS - CS-,SAD vs 0,SAD,11,-0.010963939604815221,0.01568122826432136,-0.6991760734559852,0.7498097102238603,-0.2108095180043153
Late-phase sensitivity CS+ learners,Reinstatement: Late condition contrast,CSS - CS-,SAD vs HC,SAD-HC,22,-0.035451022369166266,,-1.615696938411985,0.12183276794117892,-0.6889354893660037
Late-phase sensitivity CS+ learners,Reinstatement: Late condition contrast,CSR - CS-,HC vs 0,HC,11,0.03394662561649309,0.034886638251116105,0.9730552245287506,0.17673736871639728,0.2933871890960813
Late-phase sensitivity CS+ learners,Reinstatement: Late condition contrast,CSR - CS-,SAD vs 0,SAD,11,-0.0017279199769082974,0.01404462824833381,-0.12303066669730399,0.5477398078310767,-0.037095141740202814
Late-phase sensitivity CS+ learners,Reinstatement: Late condition contrast,CSR - CS-,SAD vs HC,SAD-HC,22,-0.035674545593401386,,-0.9486001952397475,0.35992142097563407,-0.40448448232037215
